CAMPUS,CAMPNAME,C_RATING,GRDSPAN,GRDTYPE
'001902001,CAYUGA H S,A,'09 - 12,S
'001902041,CAYUGA MIDDLE,B,'06 - 08,M
'001902103,CAYUGA EL,A,'PK - 05,E
'001903001,ELKHART H S,B,'09 - 12,S
'001903002,ELKHART DAEP,Not Rated,'08 - 10,S
'001903041,ELKHART MIDDLE,B,'06 - 08,M
'001903101,ELKHART EL,A,'PK - 02,E
'001903102,ELKHART INT,A,'03 - 05,E
'001904001,FRANKSTON H S,B,'09 - 12,S
'001904041,FRANKSTON MIDDLE,B,'06 - 08,M
'001904102,FRANKSTON EL,C,'EE - 05,E
'001906002,NECHES H S,A,'09 - 12,S
'001906102,NECHES EL,C,'PK - 08,E
'001907001,PALESTINE H S,B,'09 - 12,S
'001907041,PALESTINE J H,B,'07 - 08,M
'001907101,NORTHSIDE PRI,B,'KG - 01,E
'001907102,WASHINGTON EARLY CHILDHOOD CENTER,B,'EE - PK,E
'001907107,SOUTHSIDE EL,B,'02 - 03,E
'001907110,STORY INT,D,'04 - 06,E
'001908002,WESTWOOD H S,B,'09 - 12,S
'001908041,WESTWOOD J H,C,'07 - 08,M
'001908101,WESTWOOD EL,F,'02 - 06,E
'001908102,WESTWOOD PRI,F,'EE - 02,E
'001909001,SLOCUM H S,A,'09 - 12,S
'001909101,SLOCUM PK - 8,B,'PK - 08,E
'002901001,ANDREWS H S,B,'08 - 12,S
'002901002,ANDREWS EDUCATION CENTER,C,'09 - 12,S
'002901041,ANDREWS MIDDLE,C,'06 - 08,M
'002901101,DEVONIAN EL,C,'02 - 03,E
'002901104,UNDERWOOD EL,D,'04 - 05,E
'002901105,CLEARFORK EL,C,'EE - 01,E
'003801001,PINEYWOODS COMMUNITY ACADEMY H S,A,'09 - 12,S
'003801042,DR TERRY ROBBINS MIDDLE,C,'06 - 08,M
'003801103,SARAH STRINDEN EL,A,'PK - 05,E
'003902001,HUDSON H S,A,'09 - 12,S
'003902004,STUBBLEFIELD LRN CTR,D,'10 - 12,S
'003902041,HUDSON MIDDLE,B,'06 - 08,M
'003902101,W F PEAVY PRI,B,'EE - 02,E
'003902102,W H BONNER EL,B,'03 - 05,E
'003903001,LUFKIN H S,B,'08 - 12,S
'003903004,STUBBLEFIELD LRN CTR,C,'09 - 12,S
'003903044,LUFKIN MIDDLE,B,'06 - 08,M
'003903120,ANDERSON EL,B,'03 - 05,E
'003903121,BRANDON EL,B,'03 - 05,E
'003903122,BROOKHOLLOW EL,C,'03 - 05,E
'003903123,COSTON EL,B,'03 - 05,E
'003903124,DUNBAR PRI,B,'KG - 02,E
'003903125,GARRETT PRI,B,'PK - PK,E
'003903126,HACKNEY PRI,B,'PK - PK,E
'003903127,HERTY PRI,B,'EE - 02,E
'003903128,KURTH PRI,B,'PK - 02,E
'003903129,SLACK EL,C,'02 - 05,E
'003903130,TROUT PRI,C,'EE - 02,E
'003903131,BURLEY PRI,C,'KG - 02,E
'003903141,SPECIAL SERVICES,Not Rated,'EE - KG,E
'003903201,JUVENILE DETENT CTR,Not Rated,'06 - 11,B
'003904001,HUNTINGTON H S,B,'09 - 12,S
'003904005,PRIDE ALTER SCH,C,'10 - 12,S
'003904041,HUNTINGTON MIDDLE,B,'06 - 08,M
'003904101,HUNTINGTON EL,C,'EE - 03,E
'003904102,HUNTINGTON INT,B,'04 - 05,E
'003905001,DIBOLL H S,B,'09 - 12,S
'003905004,STUBBLEFIELD LRN CTR,Not Rated,'11 - 12,S
'003905041,DIBOLL J H,B,'06 - 08,M
'003905101,H G TEMPLE EL,B,'KG - 02,E
'003905102,DIBOLL PRI,B,'PK - PK,E
'003905103,H G TEMPLE INT,B,'03 - 05,E
'003906001,ZAVALLA H S,B,'06 - 12,B
'003906101,ZAVALLA EL,C,'PK - 05,E
'003907001,CENTRAL H S,B,'09 - 12,S
'003907004,STUBBLEFIELD LRN CTR,Not Rated,'12 - 12,S
'003907041,CENTRAL J H,A,'05 - 08,M
'003907102,CENTRAL EL,C,'EE - 04,E
'004901001,ROCKPORT-FULTON H S,B,'09 - 12,S
'004901041,ROCKPORT-FULTON MIDDLE,C,'06 - 08,M
'004901101,FULTON LEARNING CENTER,C,'03 - 05,E
'004901102,DISCOVERY LEARNING CENTER,C,'EE - PK,E
'004901103,LIVE OAK LEARNING CENTER,C,'KG - 02,E
'005901001,ARCHER CITY H S,A,'07 - 12,S
'005901101,ARCHER CITY EL,A,'PK - 06,E
'005902001,HOLLIDAY H S,A,'09 - 12,S
'005902041,HOLLIDAY MIDDLE,B,'06 - 08,M
'005902101,HOLLIDAY EL,C,'EE - 05,E
'005904001,WINDTHORST H S,A,'09 - 12,S
'005904041,WINDTHORST JH,B,'06 - 08,M
'005904101,WINDTHORST EL,A,'PK - 05,E
'006902001,CLAUDE H S,B,'07 - 12,S
'006902101,CLAUDE EL,B,'PK - 06,E
'007901001,CHARLOTTE H S,B,'09 - 12,S
